id,material,weight,cost,co2_emission,recyclable,durability
403,Recycled Fiber Foam Premium Fiber,27.4,5.9,0.43,1,8
404,Leaf-Pulp Shell Consumer Sheet,39.9,3.2,0.73,1,6
405,Aluminum Can Blend,64.4,14.0,2.47,1,8
406,Paperboard Consumer Small,39.5,4.0,0.44,1,6
407,Hard Paper Shell Composite Pack,19.2,5.1,0.56,1,6
408,Bio-EVA Blend Sheet,16.3,4.9,1.02,1,6
409,Hemp Fiber Premium Blend,19.8,5.0,0.46,1,9
410,Corrugated Fiberboard Sheet,31.3,5.4,0.8,1,7
411,Cotton-Pulp Composite Large,24.5,8.2,0.65,1,7
412,Wood Pulp Composite Lightweight Blend,32.1,4.7,0.52,1,5
413,Coffee BioResin Recycled Fiber,10.4,5.9,0.64,1,5
414,Palm Leaf HeavyDuty,21.7,5.8,0.28,1,6
415,Plastic (LDPE) Recycled Blend,13.3,4.1,0.64,1,6
416,Palm Leaf Lightweight Large,39.3,7.6,0.82,1,6
417,Kenaf-Pulp Blend Consumer Medium,23.4,7.3,0.48,1,5
418,Coconut Shell Fiber Industrial Sheet,34.5,8.9,0.71,1,8
419,Bagasse Bioplastic Consumer Fiber,18.8,5.3,0.41,1,6
420,Rice Straw Pulp HeavyDuty Fiber,53.0,4.9,0.79,1,6
421,Recycled Pulp Fiber Lightweight Blend,17.9,5.3,0.3,1,6
422,Organic BioFoam Blend Pack,21.3,4.5,0.58,1,5
423,Plastic (LDPE) Composite Large,15.0,8.0,0.98,1,8
424,Bio-cellulose Film Industrial Large,24.4,8.8,0.47,1,7
425,Bamboo Husk Sheet Composite Small,23.6,6.3,0.6,1,6
426,Algae Fiber Board Composite Sheet,21.1,6.3,0.49,1,6
427,Bioplastic (PHA) Blend Pack,9.8,4.0,0.98,1,6
428,Kenaf Fiber Lightweight Blend,14.0,7.1,0.3,1,6
429,Aluminum Can Premium,78.0,18.1,1.24,1,9
430,Bioplastic (PLA) Composite Large,23.4,8.6,1.2,1,7
431,Coconut Coir Large,22.2,4.4,0.43,1,8
432,Jute Consumer Large,17.8,4.3,0.53,1,7
433,Rice Straw Pulp Premium Large,27.3,8.8,0.41,1,8
434,Recycled Aluminum HeavyDuty,77.9,6.6,0.38,1,9
435,Palm Husk Fiber HeavyDuty Medium,24.6,4.9,0.97,1,7
436,Bamboo Mesh Recycled Medium,19.0,4.8,0.16,1,6
437,Palm Leaf Standard Medium,14.9,10.2,0.88,1,6
438,Recycled Paper Composite Large,41.0,4.2,0.24,1,7
439,Rice Straw Pulp Composite,36.9,5.5,0.7,1,7
440,Corn Starch Polymer Recycled,13.6,7.2,0.3,1,6
441,Coconut Coir Blend Small,9.5,7.0,1.19,1,7
442,Palm Fiber Polymer Lightweight Blend,9.6,5.4,0.9,1,7
443,Bamboo Paper Composite Small,29.4,5.9,0.31,1,6
444,Bamboo Paper Consumer Large,17.4,4.3,0.31,1,8
445,Organic BioFoam Standard Pack,18.8,9.2,0.37,1,8
446,Hard Paper Shell Standard,27.8,5.6,0.42,1,7
447,Corn Husk Polymer Blend Fiber,37.5,9.5,1.33,1,8
448,Algae Fiber Board Lightweight Blend,18.3,4.4,0.56,1,7
449,Bio-Resin Plate Industrial Small,12.5,5.6,0.46,1,7
450,Mango Seed Polymer Lightweight Sheet,30.8,9.3,0.21,1,5
451,Corn Bagasse Blend HeavyDuty Small,70.2,10.7,0.24,1,7
452,Coconut Coir Recycled Sheet,33.1,4.8,0.25,1,6
453,Paper-Pulp Mold Pack,47.5,5.2,0.47,1,8
454,Hard Paper Shell Consumer Fiber,30.3,4.6,0.66,1,5
455,Steel Container Lightweight Large,94.3,10.4,2.3,1,7
456,Cassava Starch Polymer Industrial Large,20.3,9.8,0.53,1,8
457,Bio-PET Composite Blend,17.3,6.6,0.6,1,8
458,Paper Laminated Blend Small,48.7,4.9,0.47,1,6
459,Mushroom Packaging Blend Sheet,37.8,2.5,0.77,1,5
460,Bagasse Bioplastic Recycled Sheet,16.9,4.4,0.37,1,5
461,Foam (EPS) Industrial Small,18.3,4.2,2.0,0,6
462,Aluminum Can Lightweight Small,46.0,6.1,1.88,1,7
463,Cassava Starch Polymer Lightweight Sheet,11.0,6.6,0.96,1,6
464,Tapioca Polymer HeavyDuty,39.5,6.7,0.62,1,9
465,Rice Straw Pulp Consumer Sheet,27.3,3.0,0.48,1,5
466,Bagasse Bioplastic Lightweight Fiber,15.9,6.9,1.02,1,4
467,Hemp Bioplastic Blend,13.9,4.8,0.84,1,6
468,Cotton Waste Composite Pack,22.1,4.5,0.61,1,8
469,Hemp Bioplastic Lightweight Large,6.9,6.8,0.86,1,4
470,Foam (EPS) Industrial Large,15.2,4.7,3.07,0,6
471,Leaf-Pulp Shell Lightweight Sheet,21.4,6.9,0.58,1,7
472,Leaf-Pulp Shell Consumer Sheet,33.8,6.2,0.33,1,8
473,Palm Leaf Recycled Large,15.1,6.8,0.75,1,8
474,Tapioca Polymer Blend,19.1,5.9,1.11,1,7
475,Corn Bagasse Blend Recycled,9.7,7.2,0.44,1,6
476,Wheat Straw Fiber Recycled Pack,26.4,5.0,0.22,1,7
477,Cotton-Pulp Composite Composite Sheet,23.5,6.3,0.41,1,6
478,Paper HeavyDuty Medium,34.2,6.8,0.44,1,6
479,Sunflower Husk Fiber Blend Small,11.8,5.3,0.29,1,6
480,Sugarcane Bagasse Standard Small,60.9,4.0,0.33,1,7
481,Palm Fiber Polymer Consumer Large,24.6,6.7,0.41,1,8
482,Paper-Pulp Mold Blend Blend,46.7,4.1,0.78,1,5
483,Bio-based Nylon HeavyDuty Sheet,18.1,5.4,0.4,1,6
484,Leaf-Based Polymer Composite Small,29.4,8.7,1.15,1,8
485,Kenaf-Pulp Blend Standard Medium,18.1,3.2,0.27,1,6
486,Bamboo Fiber,14.8,4.4,0.93,1,7
487,Sugar Palm Fiber Lightweight Pack,15.7,4.1,0.59,1,7
488,Bio-cellulose Film Blend Blend,11.2,5.5,0.62,1,6
489,Corn Bagasse Blend Industrial Fiber,44.6,7.0,0.9,1,9
490,Reed Fiber Premium Small,31.3,7.5,0.7,1,8
491,PLA-Bamboo Blend Blend Small,15.7,6.5,0.91,1,7
492,Cotton Waste Composite Blend,20.4,3.9,0.66,1,8
493,Pineapple Leaf Fiber Recycled,27.5,5.5,0.56,1,6
494,Recycled Plastic Mix Blend,18.9,6.2,0.45,1,6
495,Paper Premium Pack,40.1,6.2,0.6,1,8
496,Pine Needle Composite HeavyDuty Pack,38.2,4.0,0.83,1,6
497,Jute-Poly Blend Composite Small,26.1,6.4,0.59,1,6
498,Paper Industrial Fiber,29.5,7.9,0.49,1,7
499,Corn Starch Polymer HeavyDuty Fiber,15.2,7.0,0.37,1,9
500,Coffee Husk Polymer Premium Sheet,33.9,4.3,1.28,1,7
